donor_id,name,blood_group,age,last_donation_date,phone,gender,is_available,latitude,longitude,eligibility_status,data_source
DNR-001,Esha Singh,A+,52,2026-06-22 16:08:37.130027,7599310825,Male,False,19.197067,72.959878,eligible,synthetic_demo
DNR-002,Nisha Shah,A-,59,2026-05-04 16:08:37.130307,9410529190,Other,False,19.03609,72.815432,eligible,synthetic_demo
DNR-003,Aarav Joshi,B+,39,2026-01-09 16:08:37.130350,9998485882,Female,True,19.03906,72.85361,eligible,synthetic_demo
DNR-004,Ananya Malhotra,B-,40,2026-02-11 16:08:37.130375,7415393687,Other,False,19.064461,72.85653,eligible,synthetic_demo
DNR-005,Jiya Nair,AB+,58,2026-03-16 16:08:37.130396,9370996465,Other,False,19.071087,72.831311,eligible,synthetic_demo
DNR-006,Tanvi Singh,AB-,32,2026-07-04 16:08:37.130417,8242911821,Male,False,19.036914,72.878178,eligible,synthetic_demo
DNR-007,Chetan Kapoor,O+,60,2026-04-28 16:08:37.130435,8525876051,Female,True,19.063471,72.901406,eligible,synthetic_demo
DNR-008,Esha Joshi,O-,35,2026-01-31 16:08:37.130453,8985392498,Other,True,19.059049,72.901407,eligible,synthetic_demo
DNR-009,Aditi Singh,A+,43,2026-03-05 16:08:37.130472,7137869475,Female,True,19.207714,72.961216,eligible,synthetic_demo
DNR-010,Uday Desai,A-,49,2025-09-12 16:08:37.130490,7913224047,Female,False,19.062257,72.868059,eligible,synthetic_demo
DNR-011,Om Verma,B+,55,2026-01-06 16:08:37.130511,9510777721,Female,False,19.006544,72.831431,eligible,synthetic_demo
DNR-012,Manav Nair,B-,27,2026-06-18 16:08:37.130529,7202363285,Other,True,19.066466,72.846617,eligible,synthetic_demo
DNR-013,Jiya Chopra,AB+,53,2026-04-07 16:08:37.130548,9272528809,Male,True,19.212608,72.925976,eligible,synthetic_demo
DNR-014,Yash Desai,AB-,45,2026-03-16 16:08:37.130566,7479112937,Male,False,19.235739,72.960344,eligible,synthetic_demo
DNR-015,Farah Joshi,O+,58,2026-06-20 16:08:37.130584,9180476188,Female,True,19.082291,72.848293,eligible,synthetic_demo
DNR-016,Yash Shah,O-,49,2026-03-01 16:08:37.130602,9572447412,Male,True,19.011996,72.827177,eligible,synthetic_demo
DNR-017,Gaurav Singh,A+,54,2026-04-12 16:08:37.130621,7248786714,Male,True,19.138636,72.921983,eligible,synthetic_demo
DNR-018,Yash Mehta,A-,48,2025-09-10 16:08:37.130639,7551437149,Other,True,19.1603,72.914961,eligible,synthetic_demo
DNR-019,Diya Iyer,B+,60,2026-01-21 16:08:37.130660,8338811290,Other,False,19.067184,72.89003,eligible,synthetic_demo
DNR-020,Ananya Desai,B-,53,2025-10-16 16:08:37.130679,7090341465,Male,True,19.207481,72.846374,eligible,synthetic_demo
DNR-021,Esha Nair,AB+,22,2026-02-25 16:08:37.130697,7134917627,Other,True,19.03815,72.836055,eligible,synthetic_demo
DNR-022,Bhavna Sood,AB-,44,2025-12-14 16:08:37.130714,8043665192,Male,True,19.074249,72.870412,eligible,synthetic_demo
DNR-023,Karan Chopra,O+,59,2025-09-03 16:08:37.130732,7232663462,Other,True,19.121549,72.862415,eligible,synthetic_demo
DNR-024,Arjun Singh,O-,52,2026-05-08 16:08:37.130752,7822873088,Female,True,19.054731,72.821465,eligible,synthetic_demo
DNR-025,Ananya Chopra,A+,21,2026-06-24 16:08:37.130770,9363629219,Other,True,19.152874,72.847031,eligible,synthetic_demo
DNR-026,Chetan Reddy,A-,31,2025-12-10 16:08:37.130788,9085812759,Female,True,19.134918,72.887135,eligible,synthetic_demo
DNR-027,Farah Chopra,B+,53,2026-01-09 16:08:37.130807,8225136114,Other,False,19.012249,72.868365,eligible,synthetic_demo
DNR-028,Aditi Patel,B-,21,2026-07-15 16:08:37.130826,8346922426,Other,False,19.002795,72.829985,not_eligible,synthetic_demo
DNR-029,Aditi Nair,AB+,56,2026-07-09 16:08:37.130845,7798112150,Male,True,19.250669,72.858556,not_eligible,synthetic_demo
DNR-030,Esha Patel,AB-,44,2026-07-03 16:08:37.130863,9660223333,Other,False,19.149694,72.868414,eligible,synthetic_demo
DNR-031,Esha Verma,O+,60,2026-06-07 16:08:37.130881,8699887270,Other,False,19.051013,72.89551,eligible,synthetic_demo
DNR-032,Ananya Shah,O-,54,2025-09-29 16:08:37.130898,8968321319,Male,True,19.178309,72.861393,eligible,synthetic_demo
DNR-033,Ishaan Nair,A+,36,2026-02-05 16:08:37.130915,8049193572,Male,False,19.215358,72.84526,eligible,synthetic_demo
DNR-034,Sana Shah,A-,37,2025-11-03 16:08:37.130933,9868450609,Other,True,19.239877,72.862584,eligible,synthetic_demo
DNR-035,Veda Mehta,B+,56,2026-03-22 16:08:37.130950,8169726681,Male,False,19.006523,72.863586,eligible,synthetic_demo
DNR-036,Nisha Sood,B-,23,2026-07-18 16:08:37.130967,8078557553,Other,False,19.050975,72.882346,not_eligible,synthetic_demo
DNR-037,Bhavna Verma,AB+,53,2025-12-30 16:08:37.130987,7693989311,Other,False,19.043004,72.876378,eligible,synthetic_demo
DNR-038,Uday Mehta,AB-,41,2026-07-26 16:08:37.131006,9343292475,Other,True,19.205183,72.835762,not_eligible,synthetic_demo
DNR-039,Aditi Kapoor,O+,60,2026-04-08 16:08:37.131025,7902271852,Male,False,19.150072,72.839313,eligible,synthetic_demo
DNR-040,Rohan Mehta,O-,29,2026-05-22 16:08:37.131042,8016779084,Female,True,19.248907,72.852319,eligible,synthetic_demo
DNR-041,Karan Singh,A+,24,2026-05-24 16:08:37.131063,8145921803,Female,True,19.030128,72.835709,eligible,synthetic_demo
DNR-042,Lavanya Kapoor,A-,32,2026-04-19 16:08:37.131082,8310784794,Male,True,19.173622,72.864629,eligible,synthetic_demo
DNR-043,Yash Verma,B+,50,2025-09-19 16:08:37.131100,8508161137,Female,False,19.160113,72.867118,eligible,synthetic_demo
DNR-044,Chetan Verma,B-,56,2026-06-19 16:08:37.131118,7164313410,Female,False,19.040367,72.85302,eligible,synthetic_demo
DNR-045,Nisha Rao,AB+,30,2025-10-22 16:08:37.131145,8654401763,Female,True,19.175321,72.93332,eligible,synthetic_demo
DNR-046,Om Iyer,AB-,22,2026-01-05 16:08:37.131164,8564319318,Other,False,19.157803,72.937496,eligible,synthetic_demo
DNR-047,Veda Kulkarni,O+,60,2026-03-08 16:08:37.131183,9178074590,Female,False,19.042996,72.917101,eligible,synthetic_demo
DNR-048,Diya Reddy,O-,29,2026-01-31 16:08:37.131200,9855850145,Other,False,19.17856,72.851621,eligible,synthetic_demo
DNR-049,Gaurav Iyer,A+,56,2025-10-21 16:08:37.131218,8846355528,Other,False,19.171097,72.82392,eligible,synthetic_demo
DNR-050,Veda Joshi,A-,36,2026-07-01 16:08:37.131236,9829742424,Other,False,19.184589,72.857581,eligible,synthetic_demo
DNR-051,Tanvi Kulkarni,B+,27,2026-05-04 16:08:37.131253,7964824319,Male,True,19.129521,72.882257,eligible,synthetic_demo
DNR-052,Yash Nair,B-,58,2026-01-13 16:08:37.131269,8955997540,Other,True,19.065797,72.870264,eligible,synthetic_demo
